Municipio,RF_2010,RF_2000,RF_1980
2111300,71,118,89
2111409,71,118,90
2111508,71,118,89
2111532,70,115,
2111573,77,123,
2111607,77,123,94
2111631,71,118,
2111672,71,118,
2111706,71,118,89
2111722,71,118,
2111748,71,118,
2111763,70,115,
2111789,71,118,
2111805,70,115,220
2111904,71,120,90
2111953,71,120,
2112001,72,123,94
2112100,71,118,90
2112209,73,124,99
2112233,71,118,
2112274,71,118,
2112308,71,118,90
2112407,71,118,89
2112456,71,118,
2112506,73,125,98
2112605,73,124,99
2112704,71,118,99
2112803,71,118,89
2112852,70,115,
2112902,71,118,89
2113009,71,118,90
2114007,71,118,
2200053,77,131,
2200103,73,124,99
2200202,73,124,99
2200251,77,131,
2200277,77,131,
2200301,73,124,99
2200400,73,124,99
2200459,77,120,
2200509,73,124,99
2200608,73,124,99
2200707,77,122,91
2200806,77,120,99
2200905,73,131,99
2200954,77,,
2201002,77,120,99
2201051,73,124,
2201101,72,123,94
2201150,77,123,
2201176,77,131,
2201200,73,124,99
2201309,72,123,94
2201408,73,124,99
2201507,73,125,99
2201556,77,131,
2201572,77,131,
2201606,73,124,99
2201705,77,120,94
2201739,77,131,
2201770,73,124,
2201804,77,131,99
2201903,72,120,94
2201919,73,125,
2201929,77,122,
2201945,73,124,
2201960,73,125,
2201988,77,120,
2202000,73,125,98
2202026,73,124,
2202059,73,124,
2202075,77,131,
2202083,73,125,
2202091,77,131,
2202109,77,131,99
2202117,77,122,
2202133,77,131,
2202174,73,125,
2202208,73,124,99
2202251,77,120,
2202307,77,120,97
2202406,73,124,99
2202455,77,122,
2202505,77,119,96
2202539,73,125,
2202554,77,131,
2202604,73,124,99
2202653,73,125,
2202703,73,125,98
2202711,73,124,
2202729,73,125,
2202737,73,124,
2202752,77,120,
2202778,77,131,
2202802,77,131,92
2202851,77,122,
2202901,72,123,94
2203008,72,123,94
2203107,72,120,94
2203206,72,123,94
2203230,72,120,
2203255,73,124,
2203271,77,131,
2203305,73,124,99
2203354,77,122,
2203404,77,131,99
2203420,73,125,99
2203453,77,122,
2203503,73,131,99
2203602,77,120,94
2203701,73,125,99
2203750,77,122,
2203800,77,120,99
2203859,77,131,
2203909,77,120,99
2204006,73,131,99
2204105,77,120,99
2204154,77,131,
2204204,77,131,99
2204303,77,131,99
2204352,77,131,
2204402,72,123,94
2204501,77,120,99
2204550,77,122,
2204600,73,124,99
2204659,73,125,
2204709,77,131,99
2204808,77,131,99
2204907,77,131,99
2205003,77,131,99
2205102,77,120,99
2205151,77,131,
2205201,77,131,99
2205250,73,124,
2205276,73,124,
2205300,77,120,99
2205359,77,122,
2205409,73,125,99
2205458,73,125,
2205508,73,124,99
2205516,73,124,
2205524,72,123,
2205532,77,122,
2205540,73,124,
2205557,73,124,
2205565,77,122,
2205573,73,125,
2205581,73,124,
2205599,77,131,
2205607,77,120,99
2205706,73,125,98
2205805,73,125,99
2205854,73,125,
2205904,77,120,94
2205953,77,131,
2206001,77,120,99
2206050,77,131,
2206100,73,125,99
2206209,73,124,99
2206308,73,124,99
2206357,73,125,
2206407,73,124,99
2206506,77,131,99
2206605,72,123,94
2206654,72,123,
2206670,73,125,
2206696,73,125,
2206704,77,120,99
2206720,73,,
2206753,73,124,
2206803,73,125,99
2206902,77,131,99
2206951,73,124,
2207009,77,131,99
2207108,73,124,
2207207,77,131,99
2207306,77,131,97
2207355,77,120,
2207405,72,120,94
2207504,73,124,99
2207553,77,131,
2207603,72,123,94
2207702,73,125,98
2207751,73,124,
2207777,77,131,
2207793,73,,
2207801,77,131,92
2207850,77,120,
2207900,73,125,99
2207934,77,122,
2207959,77,122,
2208007,77,131,99
2208106,77,131,99
2208205,77,131,99
2208304,73,125,99
2208403,73,125,99
2208502,73,125,99
2208551,77,120,
2208601,73,124,99
2208650,77,131,
2208700,72,120,94
2208809,73,124,99
2208858,72,123,
2208874,77,120,
2208908,77,123,94
2209005,77,120,93
2209104,77,131,99
2209153,73,131,
2209203,72,123,94
2209302,72,120,94
2209351,77,131,
2209377,77,131,
2209401,77,131,99
2209450,73,124,
2209500,77,131,99
2209559,77,122,
2209609,73,131,99
2209658,77,,
2209708,77,131,99
2209757,72,123,
2209807,73,124,99
2209856,77,131,
2209872,73,125,
2209906,73,124,99
2209955,77,131,
2209971,73,125,
2210003,77,122,97
2210052,73,125,
2210102,77,131,99
2210201,77,131,99
2210300,77,131,99
2210359,77,122,
2210375,77,131,
2210383,73,131,
2210391,77,131,
2210409,73,124,95
2210508,73,124,99
2210607,77,122,96
2210623,72,123,
2210631,77,120,
2210656,73,124,
2210706,77,131,99
2210805,77,131,99
2210904,77,120,97
2210938,77,131,
2210953,77,120,
2210979,77,131,
2211001,73,124,99
2211100,73,124,99
2211209,77,120,94
2211308,77,131,99
2211357,77,122,
2211407,77,131,99
2211506,77,131,
2211605,77,131,
2211704,77,131,
2300101,80,131,105
2300150,74,127,
2300200,73,125,103
2300309,80,131,105
2300408,80,131,105
2300507,73,125,103
2300606,80,131,105
2300705,80,130,103
2300754,74,127,
2300804,80,131,105
2300903,74,127,103
2301000,74,127,103
2301109,80,130,103
2301208,74,127,103
2301257,73,125,
2301307,77,131,105
2301406,74,127,103
2301505,80,131,105
2301604,80,131,105
2301703,80,131,105
2301802,80,130,105
2301851,74,127,
2301901,80,131,105
2301950,74,127,
2302008,80,131,105
2302057,73,125,
2302107,74,127,103
2302206,74,127,103
2302305,73,125,103
2302404,73,125,105
2302503,80,131,105
2302602,73,125,103
2302701,77,131,99
2302800,74,127,103
2302909,74,127,103
2303006,74,127,103
2303105,73,125,103
2303204,80,131,105
2303303,80,131,105
2303402,73,125,99
2303501,74,127,103
2303600,80,131,105
2303659,73,125,
2303709,74,127,103
2303808,80,131,105
2303907,73,125,98
2303931,74,127,
2303956,74,127,
2304004,73,125,103
2304103,73,124,103
2304202,80,131,105
2304236,73,125,
2304251,73,125,
2304269,74,127,
2304277,80,130,
2304285,74,127,
2304301,80,131,105
2304350,73,125,
2304400,74,127,103
2304459,80,130,
2304509,73,125,103
2304608,74,127,103
2304657,73,125,
2304707,73,125,103
2304806,80,131,105
2304905,73,125,103
2304954,74,127,
2305001,73,125,99
2305100,74,127,103
2305209,73,125,103
2305233,74,127,
2305266,74,127,
2305308,73,125,103
2305332,74,130,
2305357,80,130,
2305407,80,130,103
2305506,80,131,105
2305605,73,124,103
2305654,73,125,
2305704,80,130,105
2305803,73,125,103
2305902,73,125,103
2306009,80,130,106
2306108,74,127,103
2306207,80,130,103
2306256,74,127,
2306306,74,127,103
2306405,74,127,103
2306504,74,127,103
2306553,73,125,
2306603,74,127,103
2306702,74,127,103
2306801,80,130,103
2306900,80,130,103
2307007,80,130,103
2307106,80,131,105
2307205,80,131,105
2307254,73,125,
2307304,80,131,105
2307403,80,131,105
2307502,80,131,105
2307601,80,130,103
2307635,74,127,
2307650,74,127,
2307700,74,127,103
2307809,73,125,103
2307908,73,125,103
2308005,73,125,103
2308104,80,131,105
2308203,73,125,103
2308302,80,131,105
2308351,74,127,
2308377,74,127,
2308401,80,131,105
2308500,74,131,105
2308609,73,125,100
2308708,80,130,103
2308807,73,125,103
2308906,73,125,103
2309003,73,125,103
2309102,74,127,103
2309201,80,131,105
2309300,73,125,103
2309409,73,124,103
2309458,74,127,
2309508,80,131,103
2309607,74,127,103
2309706,74,127,103
2309805,74,127,103
2309904,73,125,103
2310001,80,130,103
2310100,74,127,103
2310209,74,127,103
2310258,74,127,
2310308,80,131,101
2310407,74,127,103
2310506,74,131,105
2310605,80,131,105
2310704,74,127,103
2310803,80,130,106
2310852,74,127,
2310902,80,131,105
2310951,73,125,
2311009,73,125,102
2311108,80,131,105
2311207,77,131,105
2311231,80,130,
2311264,80,124,
2311306,74,127,103
2311355,80,131,
2311405,74,127,103
2311504,80,130,103
2311603,74,127,103
2311702,73,125,103
2311801,80,130,103
2311900,80,131,105
2311959,77,131,
2312007,73,125,103
2312106,80,131,105
2312205,73,125,103
2312304,73,125,99
2312403,74,127,103
2312502,80,130,103
2312601,74,127,103
2312700,74,127,105
2312809,73,125,103
2312908,73,125,103
2313005,74,127,105
2313104,80,130,103
2313203,73,125,103
2313252,80,131,
2313302,80,131,105
2313351,74,127,
2313401,73,125,103
2313500,74,127,103
2313559,74,127,
2313609,73,125,103
2313708,80,130,105
2313757,74,127,
2313807,74,127,103
2313906,73,125,103
2313955,73,125,
2314003,80,131,105
2314102,73,125,103
2400109,80,130,106
2400208,80,130,106
2400307,80,130,106
2400406,80,130,106
2400505,80,130,106
2400604,80,130,106
2400703,80,130,106
2400802,80,130,106
2400901,80,130,106
2401008,80,130,106
2401107,80,130,106
2401206,75,126,107
2401305,80,130,106
2401404,75,126,107
2401453,80,130,
2401503,75,126,107
2401602,75,126,107
2401651,80,130,
2401701,75,126,107
2401800,75,126,107
2401859,80,126,
2401909,75,126,107
2402006,80,130,106
2402105,75,126,107
2402204,75,126,107
2402303,80,130,106
2402402,75,128,106
2402501,80,130,106
2402600,75,126,107
2402709,80,130,106
2402808,75,128,106
2402907,80,130,106
2403004,80,130,106
2403103,80,130,106
2403202,80,130,106
2403251,75,126,107
2403301,80,130,106
2403400,75,130,106
2403509,75,126,107
2403608,75,126,107
2403707,80,130,106
2403756,80,130,
2403806,80,130,106
2403905,80,130,106
2404002,80,130,106
2404101,80,130,106
2404200,75,126,107
2404309,80,130,106
2404408,80,130,106
2404507,80,130,106
2404606,75,126,107
2404705,80,130,106
2404804,80,130,106
2404853,80,130,
2404903,80,130,106
2405009,75,128,106
2405108,80,126,107
2405207,80,130,106
